communityname,state,countyCode,communityCode,autoTheftPerPop,PctKidsBornNeverMar,PctKids2Par,PctFam2Par,PctTeen2Par,PctRecImmig10,PctPersDenseHous,PctForeignBorn,PctRecImmig8,PopDens,PctHousLess3BR,PctRecImmig5,FemalePctDiv,PctNotSpeakEnglWell,PctPersOwnOccup,PctRecentImmig,TotalPctDiv,PctSpeakEnglOnly,PctYoungKids2Par,pctWPubAsst,PctLargHouseFam,PctHousOwnOcc,pctWInvInc,MalePctDivorce,PctUnemployed,PctVacantBoarded,MedNumBR,PctUsePubTrans,RacialMatchCommPol,PctNotHSGrad,LemasPctOfficDrugUn
Mantuatownship,NJ,15,43440,132.55,1.12,82.18,86.34,85.32,0.54,1.36,1.85,0.29,611.6,25.95,0.29,8.12,0.42,90.89,0.05,7.41,97.19,93.21,3.34,5.68,90.24,44.83,6.69,3.2,2.56,3,2.01,,22.53,0
MountPleasantcity,TX,,,297.07,1.79,63.55,70.2,66.84,8.29,8.98,11.81,5.65,1191.5,48.39,4.12,12.47,6.05,60.31,1.87,10.68,83.68,83.67,8.61,8.99,62.86,26.89,8.62,4.15,1.38,3,0,,37.76,0
MorganHillcity,CA,,,319.68,1.77,76.24,80.97,82.06,3.38,6.8,11.03,2.66,2207.4,34.11,2.32,12.03,3.44,70.94,1.42,10.21,79.84,88.76,5.48,7.49,71.5,48.89,8.4,3.7,2.01,3,2.4,,16.58,0
AppleValleytown,CA,,,518.61,2.19,73.37,77.44,78.37,1.3,5.65,5.75,0.82,661.8,33.4,0.58,13.08,1.12,69.41,0.36,11.14,88.87,81.64,9.8,7.14,69.05,32.73,9.1,7.89,1.75,3,0.32,,19.86,0
CasaGrandecity,AZ,,,847.57,4.18,62.65,69.39,79.21,1.52,9.04,4.77,1.12,845.4,50.5,0.79,15.05,3.01,63.98,0.39,13.16,74.44,67.26,10.09,9.1,62.48,29.06,11.1,7.9,2.42,2,0.71,,28.01,0
Aberdeencity,SD,13,100,110.37,1.53,76.25,76.04,76.62,0.39,1.32,1.05,0.19,2870.5,52.31,0.19,9.22,0.6,64.72,0.19,8.26,93.1,87.03,5.1,3.12,56.64,48.52,7.09,3.57,1.16,2,0.07,,22.7,0
Farmingtontown,CT,3,27600,387.75,0.58,86.77,86.23,89.03,1.99,0.4,7.46,1.58,709,41.6,0.88,10.07,0.49,78.49,0.58,8.53,90.49,94.54,2.76,2.58,73.04,65.18,6.78,3.47,1.13,3,1.72,,11.13,0
Eveshamtownship,NJ,5,22110,135.57,1,85.71,86.22,85.24,1.71,0.83,5.56,1.46,1153.7,29.64,1.15,10.44,0.93,82.22,0.91,8.85,91.96,96.92,1.17,4.16,76.36,54.83,7.14,2.47,0.85,3,5.46,,9.91,0
Ashwaubenonvillage,WI,9,3425,120.62,0.99,81.65,82.19,84.53,0.31,1.48,0.78,0.31,1513.4,42.23,0.12,9.88,0.88,71.04,0.12,8.49,97.25,88.66,4.33,2.66,61.09,56.64,6.97,3.59,0,3,0.55,,12.1,0
SouthKingstowntown,RI,9,67460,89.62,1.57,78.85,80.86,68.87,3.28,1.76,5.98,2.65,416.4,40.26,2.31,7.5,0.58,73.43,1.69,6.7,92.39,97.44,4.65,3.96,69.86,54.32,5.8,5.25,2.02,3,0.9,,14.46,0
Stamfordtown,CT,1,73070,678.18,6.42,67.92,72.41,75.16,7.9,4.91,18.58,6.57,2765.1,53.06,5.06,11.56,3.87,60.42,3.24,9.86,77.07,79.89,5.43,5.87,57.87,54.11,7.96,5.08,1.37,2,11.33,87.65,18.81,4.35
Masoncity,OH,,,29.98,0.61,83.58,85.12,84.97,0.48,0.91,1.21,0.17,904.6,32.07,0,11.58,0.08,78.53,0,9.86,97.02,93.38,3.39,3.07,74.67,49.45,7.98,2.84,0,3,0.19,,16.17,0
Kennewickcity,WA,,,263.85,2.54,70.52,70.96,78.15,2.21,4.49,4.73,1.91,2022,48.91,1.36,15.31,2.04,57.48,1.06,13.34,89.97,75.97,8.95,5.83,53.08,38.32,11.21,7,1.85,3,3.29,,17.5,0
MoundsViewcity,MN,123,44530,266.93,1.73,75.22,74.31,74.23,1.36,2.04,2.47,0.84,2938.7,48.46,0.28,12.53,0.52,76.98,0.18,11.03,94.62,82.82,5.5,2.73,71.71,43.46,9.5,4.93,0,3,2.05,,12.18,0
Haddonfieldborough,NJ,7,28770,85.89,1.07,84.64,85.65,83.13,0.68,0.18,3.29,0.63,3969.1,22.4,0.46,8.41,0.33,87.95,0.35,6.74,95.2,98.74,1.71,3.26,83.39,70.91,4.81,1.78,0.62,3,13.45,,8.86,0
Robbinsdalecity,MN,53,54808,486.53,1.5,77.9,76.93,75.12,0.76,1.12,2.27,0.33,5000.7,49.42,0.12,10.85,0.46,78.4,0.06,9.87,94.65,94.97,3.67,2.97,73,52.29,8.71,4.55,0,3,6.21,,15.58,0
Norwalktown,CT,1,56060,701.31,4.63,69.28,74.35,74.64,5,3.81,13.3,3.98,3315.6,49.62,2.81,11.91,3.65,65.33,1.46,10.29,80.42,83.76,4.34,5.3,61.98,52.92,8.5,4.69,3.79,3,8.17,98.8,20.48,12.2
Cincinnaticity,OH,61,15000,573.46,11.81,45.53,50.06,54.43,1.2,3.84,2.76,1.01,4550.3,67.36,0.76,16.35,0.69,44.21,0.56,14.85,94.63,53.22,14.32,6.46,38.34,34.68,13.02,7.84,8,2,11.26,77.67,30.39,5.01
Bridgewatertown,MA,23,8085,181.45,1.62,82.05,83.06,89.48,0.88,1.6,4.29,0.61,746.1,39.07,0.37,8.29,1.06,75.57,0.28,9.66,92.06,89.92,5,5.59,68.56,43.97,10.84,6.22,0.35,3,1.5,,17.09,0
Lockportcity,NY,63,43082,249.43,4.74,69.79,69.73,77.07,0.23,1.49,2.23,0.18,2762.2,49.27,0.06,12.59,0.77,63.25,0,12.01,94.98,76.39,8.2,4.27,55.85,40.48,11.32,7.44,4.13,3,0.79,,26.45,0
Kalamazootownship,MI,77,42180,366.54,2.52,69.83,71.87,82.2,0.48,2.17,3.42,0.35,1721,53.78,0.28,12.62,0.66,69.49,0.18,11.13,94.84,81.21,6.7,3.65,66.59,45.77,9.42,5.34,0.87,2,0.57,,18.64,0
Paducahcity,KY,,,527.62,4.8,55.02,58.21,61.85,0.43,1.81,1.01,0.28,1498.2,57.42,0.16,16.26,0.39,57.17,0.07,14.81,97.1,63.91,12.47,3.29,54.38,33.74,12.9,7.51,3.18,2,0.69,,30.99,0
WindsorLockstown,CT,3,87070,258.67,0.91,78.78,80.9,85.31,2.61,1.28,6.64,1.92,1320.8,36.38,1.56,11,0.96,79.64,0.91,9.62,90.45,90.43,3.95,3.34,76.17,55.37,8.17,4.62,0.58,3,2.14,,22.67,0
LasVegascity,NV,,,1037.86,4.36,63.59,67.72,68.88,4.9,7.86,10.26,3.63,2993.5,54.6,2.82,19.41,3.7,53.82,1.86,18.4,84.81,76.93,5.98,6.67,50.38,30.47,17.41,6.57,4.57,2,2.85,90.73,23.7,2.67
Belchertowntown,MA,15,4825,82.45,2.19,79.84,80.75,84.75,1.49,1.46,3.17,0.78,193.6,42.85,0.78,10.92,0.57,81.14,0.78,9.95,94.78,87.36,5.43,3.75,76.21,50.22,8.93,3.76,1.84,3,1.24,,19.52,0
Corcorancity,CA,,,245.27,9.3,63.5,69.24,74.33,5.76,18.4,16.1,4.08,2277.4,52.4,3.76,12.95,7.92,55.43,2.27,8.44,55.84,64.77,23.06,14.14,55.94,20.9,6.78,12.35,1.66,2,0.38,,42.24,0
RoselleParkborough,NJ,39,64650,501.04,1.02,80.46,82.35,81.89,5.68,2.92,14.26,4.41,10108.1,47.31,3.07,9.46,2.82,66.93,1.62,8.23,78.45,95.56,4.94,4.58,58.97,55.41,6.89,5.37,1.86,3,6.71,,21.14,0
Bedfordtown,MA,17,4615,51.96,0.41,85.79,85.8,81.47,2.44,0.63,8.21,1.93,912.9,27.16,0.88,8.6,0.48,77.4,0.68,7.68,92.54,93.49,3.59,3.7,71.33,68.04,6.86,2.78,0.81,3,2.18,,7.1,0
Maconcity,GA,,,751.91,10.44,44.24,51.01,51.94,0.39,4.67,0.84,0.35,2149.4,52.08,0.32,17.81,0.38,50.66,0.24,16.07,96.97,52.82,15.47,6.16,49.67,27.02,13.84,8.38,12.65,2,2.76,77.38,36.08,6.92
EastHamptontown,CT,7,22490,65.14,0.44,82.81,85.22,87.29,0.34,0.93,2.51,0.34,282.8,36.93,0.23,10.38,0.32,83.43,0.23,9.34,95.75,88.59,2.83,3.22,79.26,52.78,8.32,4.18,0.46,3,1.36,,16.4,0
BrooklynCentercity,MN,53,7948,747.74,4.18,68.12,69.08,69.82,1.2,2.26,2.44,0.74,3509.3,45.53,0.59,11.8,1.1,74.3,0.42,10.19,94.7,75.23,6.98,3.5,69.54,50.37,8.41,5.37,0.21,3,6.4,,16.18,0
Blythevillecity,AR,,,843.11,9.97,60.16,66.43,68.52,0.66,5.29,1.1,0.55,1910.7,49.33,0.32,12.94,0.46,46.34,0.29,11.87,96.96,69.5,14.67,6.89,47.98,26.79,10.66,8.69,9.67,3,0.45,,33.68,0
Uvaldecity,TX,,,88.02,1.5,67.31,74.62,76.79,3.75,13.77,12.61,2.67,2578.6,50.36,1.89,12.24,12.98,64.1,1.26,10.47,32.12,83.27,15.4,12.8,64.9,24.84,8.42,13.57,7.96,2,0.31,,48.56,0
CathedralCitycity,CA,,,719.03,4.96,67.86,74.13,72.4,12.38,13.47,24.87,9.18,1535.3,58.81,6.81,15.2,10.39,58.37,3.48,13.18,63.41,77.45,8.31,11.94,61.78,31.99,11.2,6.24,0.6,2,2.92,,30.39,0
NorthOgdencity,UT,,,52.34,0.24,89.03,88.86,90.67,0.66,3.55,1.56,0.54,1822,15.97,0.35,6.48,0.1,90.38,0.27,5.17,95.64,96.69,1.21,19.97,88.84,49.89,3.81,4.34,5.26,3,1.46,,6.32,0
Mariettacity,GA,,,933.18,4.22,60.96,64.89,58.78,3.49,2.89,5.11,2.65,2090.2,68.63,1.89,18.69,1.51,36.49,1.09,16.26,91.89,76.31,4.61,3.74,33.44,33.01,13.6,5.33,1.61,2,1.19,80.47,18.66,13.25
Lowertownship,NJ,9,41610,168.91,2.28,73.96,76.26,73.79,0.21,2,1.79,0.16,712.1,46.98,0.16,9.64,0.58,81.09,0.04,8.85,94.36,83.14,6.22,4.19,82.13,42.12,7.96,7.71,0.32,3,1.62,,34.58,0
Morristowntown,NJ,27,48300,303.2,6.08,58.69,63.87,69.8,11.93,5.27,19.56,10.12,5316.9,62.26,9.06,14.65,6.4,43.15,5.25,13.02,77.58,80.47,4.42,7.62,37.6,51.96,11.17,5.03,2.87,2,5.88,,21.61,0
Chillicothecity,OH,,,375.08,2.55,65.23,66.7,74.26,0.45,1.47,1.33,0.39,2685.2,50.39,0.26,15.81,0.64,61.54,0.26,14.14,96.74,68.57,12.22,3.35,59.71,40.8,12.03,10.65,1.8,2,0.88,,30.4,0
Vincennescity,IN,,,225.41,1.42,68.65,70.15,65.96,0.57,1.64,0.98,0.57,2992.6,57.47,0.55,13.64,0.3,63.75,0.51,11.17,96.56,82.72,8.23,3.48,59.64,36.36,8.52,8.73,2.66,2,0.51,,28.08,0
Demingcity,NM,,,329.5,4.45,60.54,65.63,74.44,6.4,9.75,15.86,5.9,1833.2,57.52,3.25,13.23,11.7,64.79,1.62,12.1,49.72,54.79,15.41,9.56,64.39,28.09,10.76,17.4,6.1,2,0.24,,44.6,0
Waterfordtownship,NJ,7,77630,228.09,2.19,84.34,87.14,89.64,0.51,1.45,2.2,0.51,291.8,19.61,0.37,8.83,0.64,89.02,0.37,8.37,94.9,94.63,2.94,6.05,87.31,43.47,7.91,3.36,6.19,3,5.24,,20.26,0
Chelmsfordtown,MA,17,13135,431.88,0.6,83.47,84.86,84.33,2.02,0.82,5.99,1.53,1379.8,32.13,1,8.86,0.77,85.61,0.64,7.3,91.59,92.29,3.59,4.23,82.21,57.63,5.62,5.31,2.49,3,1.3,,9.77,0
Wilmingtoncity,NC,,,588.16,8.53,48.29,52.67,57.07,0.56,2.49,1.82,0.44,1805,53.95,0.31,16.31,0.53,49,0.21,13.98,96.07,59.55,10.55,3.82,47.12,31.48,11.05,6.21,2.58,2,3.22,84.94,26.95,4.44
Lubbockcity,TX,,,307.88,2.96,69,75,77.33,1.63,6.6,3.29,1.36,1726.3,50.91,1.01,12.98,2.71,59.83,0.78,10.98,78.78,83.96,6.42,6.11,55.25,35.78,8.85,6.56,4.51,2,0.89,89.88,24.43,4.64
Vinelandcity,NJ,11,76070,658.71,6.12,60.81,67.22,68.94,1.01,5.77,5.89,0.66,769.8,46.49,0.51,12.84,6.01,68.73,0.23,11.5,72.63,73.21,8.57,6.73,67,32.61,9.91,7.2,5.02,3,1.83,81.42,38.66,7.48
Brocktoncity,MA,23,9000,2086.75,6.75,61.08,65.2,68.13,4.94,4.02,11.2,4.09,4171.7,49.3,3.2,13.49,3.44,59.15,1.82,11.52,82.24,67.2,14.5,7.54,53.32,31.53,9.3,9.22,4.79,3,5.54,88.77,25.62,3.32
Dovertownship,NJ,29,18130,170.37,0.95,81.1,83.11,84.34,0.79,1.27,5.25,0.63,1793.5,40.25,0.51,8.98,0.79,83.88,0.3,7.66,91.23,92.23,3.71,5.22,82.02,50.78,6.19,5.01,0.48,3,1.24,,21.2,0
Dunedincity,FL,,,178.9,0.79,72.09,73.38,69.51,0.88,1.06,7.06,0.61,3173.9,69.4,0.52,12.53,0.57,72.87,0.36,11.47,92.76,80.75,3.71,1.76,70.49,55.49,10.13,3.89,0.52,2,0.65,,18.44,0
Novatocity,CA,,,277.32,1.51,78.7,79,81.42,4.73,3.35,11.41,3.66,1665.7,38.17,2.79,14.4,1.81,61.86,1.71,11.92,85.27,88.59,4.68,3.3,61.91,54.19,9.2,2.92,0.18,3,7.9,,8.28,0
Delhitownship,OH,61,21504,32.17,0.81,86.02,86.28,88.35,0.87,1.03,2.51,0.67,2907.8,22.37,0.53,6.8,0.53,89.21,0.29,5.73,95.88,92.7,2.56,6.34,85.14,62.14,4.49,2.94,0,3,3.15,,17.66,0
Orlandocity,FL,,,1005.29,9.1,49.98,57.46,58.67,3.15,5.75,6.94,2.33,2363.3,66.7,1.66,18.4,2.4,43.72,1.04,16.18,87.33,66.02,6.37,5.24,41.1,32.38,13.99,4.56,2.81,2,3.56,78.64,21.9,9.35
Cerritoscity,CA,,,1645.45,1.15,81.03,86.48,88.19,15.34,10.97,36.34,11.2,5965.9,20.52,6.52,8.47,7.07,83.41,3.96,6.83,54.17,93.07,5.9,10.8,83.44,49.45,5.1,3.67,0.59,3,0.94,,10.78,0
Hillsboroughtownship,NJ,35,31890,58.12,0.83,88.48,88.94,84.29,3.09,1.08,8.29,2.38,508.5,35.75,1.48,8.93,0.99,84.04,0.64,7.54,89.29,97.22,1.04,3.93,80.9,62.24,6.05,3.46,2.11,3,3.13,,8.55,0
Cartersvillecity,GA,,,562.78,3.99,62.89,68.13,63.83,0.33,2.9,0.97,0.27,488.7,45.56,0.14,14.14,0.64,60.22,0.14,13.09,96.56,71.28,9.73,3.53,57.5,34.75,11.83,5.73,0.73,3,0.24,,39.17,0
CliffsideParkborough,NJ,3,13570,267.38,1.32,77.5,79.52,78.84,13.12,4.33,31.23,10.7,20417.5,69.68,8.54,9.69,7.52,51.71,5.46,8.39,56.91,94.16,4.94,4.02,49,50.52,6.94,5.86,0.39,2,20.74,,24.95,0
Miamicity,OK,,,378.17,0.81,67.64,69.92,77.29,0.14,1.31,0.5,0.08,1361.6,48.64,0.08,14.17,0.3,69.05,0,11.98,97.7,81.66,7.37,2.62,67.68,35.96,9.31,9,1.84,3,0.12,,28.99,0
Oronotown,ME,19,55540,18.87,4.24,69.72,71.94,77.93,2.75,3.06,4.7,2.68,560.5,50.58,2.32,6.18,0.54,54.38,1.83,4.68,92.18,84.16,6.11,2.68,50.59,54.28,3.31,4.86,0.43,2,1.12,,11.33,0
Palatinevillage,IL,,,89.6,0.88,85.4,85.11,85.34,2.43,1.42,8.28,1.92,3845.3,46.07,1.55,10.37,1.4,76.38,0.82,9.02,87.65,94.1,2.56,4.65,69.41,60.77,7.57,2.6,1.01,3,6.65,,9.36,0
Largocity,FL,,,146.9,1.2,67.29,69.53,72.76,1.45,1.35,6.01,1.27,4484.7,78.45,1.1,13.81,0.63,67.02,0.65,12.87,93.02,83.27,3.62,1.67,65.83,48.47,11.73,3.9,0.24,2,0.6,,22.95,0
DearbornHeightscity,MI,163,21020,597.14,0.69,77.79,81.32,83.01,1.57,1.87,9.27,1.22,5013,27.25,0.86,9.82,1.63,86.97,0.59,8.82,84.5,93,4,3.9,84.27,51.41,7.71,5.89,2.37,3,0.72,,25.94,0
Schenectadycity,NY,93,65508,377.2,5.57,57.95,60.67,61.93,1.48,1.39,5.59,1.26,5831.6,46.41,0.78,14.51,1.47,50.46,0.48,13.26,88.89,69.73,10.64,4.16,46.65,43.54,11.8,7.16,5.43,3,5.09,89.96,25.24,4.79
Schaumburgvillage,IL,,,305.61,1.17,84.75,84.29,82.2,3.91,1.36,9.58,3.38,3520.1,55.97,2.59,11.8,1.78,72.72,1.51,10.14,86.95,93.22,1.54,3.68,65.16,53.63,8.34,2.45,0.1,2,4.37,,9.45,0
Piedmontcity,CA,,,463.96,2.27,86.82,86.57,82.95,1.51,0.88,11.64,0.84,6079.1,12.94,0.61,9.59,1.56,91.23,0.61,7.64,84.27,96.44,1.98,4.04,90.49,79.43,5.41,1.61,1.08,4,9.17,,3.55,0
Hattiesburgcity,MS,,,265.6,9.22,44.73,51.43,55.44,1.26,4.86,2.35,1.17,1590.3,53.08,1.08,14.17,0.62,50.14,0.71,12.61,95.52,60.71,10.99,6.22,46.14,27.98,10.68,9.73,4.02,2,0.59,,26.04,0
Longmeadowtown,MA,13,36300,69.24,0.05,89.72,90.3,87.08,2.26,0.21,6.96,2.02,1655,13.88,1.42,6.11,1.04,94.08,0.85,4.64,89.27,96.61,2.48,2.99,92.85,69.68,2.9,3.51,0,3,0.26,,5.98,0
Oaklandcity,CA,,,2061.34,10.31,48.42,52.13,56.68,11.65,12.23,19.75,8.71,6409.1,69.72,6.02,17.89,8.74,44.5,3.75,15.68,72.71,61.57,17.81,10.39,41.62,33.89,13.22,9.38,10.49,2,18.71,76.45,25.61,3.73
FairLawnborough,NJ,3,22470,156.32,0.38,87.05,87.75,87.03,5.31,0.85,16.59,3.35,5702.7,28.86,2.54,6.93,2.69,84.73,1.7,5.63,80.62,98.13,3.18,3.6,80.97,62.08,4.16,3.76,0,3,10.35,,18.7,0
LowerPaxtontownship,PA,43,45056,95.4,0.93,79.24,80.67,85.55,0.68,0.73,2.23,0.5,1344.3,44.33,0.37,11.23,0.26,69.59,0.26,9.87,95.09,93.69,2.32,2.34,61.58,55.41,8.32,2.06,0.96,3,1.39,,12.58,0
Bangorcity,ME,19,2795,199.82,2.94,64.93,66.48,75.56,0.71,1.29,3.38,0.58,929.6,55.12,0.52,16.33,0.54,52.91,0.36,14.05,93.74,76.49,9.42,3.09,48.47,41.59,11.36,5.78,1.33,2,1.55,,16.49,0
ParkRidgecity,IL,,,169.13,0.61,87.42,88.03,86.95,1.86,0.63,10.54,1.36,5089.3,30.52,0.88,7.16,1.41,90.89,0.62,5.95,85.59,97.29,2.31,3.79,87.26,72.91,4.54,2.31,0.85,3,10.3,,10.6,0
FarmersBranchcity,TX,,,949.34,1.73,74.03,78.73,80.44,8.64,7.39,13.57,6.43,1950,26.27,4.16,14.31,5.91,65.93,2.52,11.57,78.69,87.27,2.27,6.81,69.63,45.52,8.75,5.39,4.98,3,1.79,,20.52,0
Montvilletownship,NJ,27,47670,228.97,0.05,89.03,91.14,91.14,2.47,0.98,10.55,2.34,798.4,16.09,1.81,5.99,1.55,92.63,1.34,5.23,84.08,98.75,2.23,5.37,91.49,65.16,4.44,4.7,0.84,3,3.62,,11.91,0
Towamencintownship,PA,91,77152,55.52,1.2,85.76,86.04,83.39,1.47,1.02,4.77,1.39,1409.7,34.27,0.8,9.64,1.22,78,0.66,8.09,92.6,97.8,2.23,4.73,70.24,61.76,6.34,2.64,1.07,3,1.81,,12.43,0
Shelbytownship,MI,99,72820,216.01,0.8,85.9,86.89,88.64,1.13,1.6,6.67,1.01,1352.1,32.14,0.71,8.13,1.18,83.61,0.52,7.26,89.88,92.8,2.47,4.54,78.19,52.8,6.38,5.15,1.01,3,0.18,,16.76,0
DaytonaBeachcity,FL,,,1081.81,7.96,41.09,49.12,41.54,2.29,4.17,7.04,1.95,1853.5,70.06,1.56,16.2,0.95,49.1,1.1,14.77,91.1,58.62,7.76,4.5,46.85,35.07,13.27,7.89,1.38,2,3.49,69.55,26.4,6.47
SouthHadleytown,MA,15,64145,232.33,0.9,78.35,80.61,80.94,1.79,1.09,5.24,1.71,909.6,42.6,1.58,7.61,0.76,76.59,1.38,7.75,88.67,91.44,4.25,3.23,71.65,56.08,7.95,3.37,1.15,3,0.9,,16.6,0
Springdalecity,AR,,,235.05,0.87,76.12,79.65,82.36,1.01,2.92,1.6,0.73,974.5,41.05,0.62,12.8,0.88,65.25,0.39,11.57,96.68,86.59,4.5,3.06,63.89,34.13,10.2,3.56,1.04,3,0.11,,29.94,0
Mercedescity,TX,,,321.65,3.62,62.76,68.5,71.24,5.92,25.22,18.1,4.57,1656.3,58.31,3.69,11.84,16.85,65.18,2.38,9.12,12.5,76.33,24.09,19.72,65.91,16.61,5.85,17.42,8.97,2,0,,58.05,0
Uticacity,NY,65,76540,406.39,6.19,57.12,60.08,65.1,1.7,1.66,5.42,1.43,4052.3,43.58,1.2,12.34,2.16,52.86,1.09,11.35,85.65,63.17,14.25,4.98,48.88,37.17,10.18,9.39,3.14,3,4.99,,32.62,0
CedarHillcity,TX,,,244.36,0.36,81.82,83.76,83.23,1.58,3.2,3.15,1.15,573.3,22.26,0.63,11.8,1.3,80.29,0.42,9.55,91.54,91.55,2.4,4.43,79.21,40.13,7.1,3.61,0.64,3,1.02,,13.87,0
TexasCitycity,TX,,,897.61,3.4,62.14,67.56,73.54,1.35,5.78,3.42,1.04,634.4,47.92,0.83,16.5,1.66,64.61,0.36,15.11,87,72.75,6.68,5.8,61.89,30.37,13.58,8.15,11.05,3,0.09,,28.58,0
WestCovinacity,CA,,,1339.86,3.59,69.66,75.18,77.16,11.65,13.19,25.28,8.93,5724.9,39.81,5.89,13.47,5.81,68.25,3.72,11.15,61.59,86.47,7.88,11.38,66.66,36.51,8.68,4.96,1.57,3,3.13,70.52,19.41,10.09
Pleasantoncity,CA,,,246.67,0.64,82.85,83.52,81.55,2.18,1.73,7.43,1.76,3009.8,32.64,1.17,12.2,0.78,74.9,0.77,10.53,90.75,92.01,2.83,3.06,70.17,55.48,8.8,3.06,0.34,3,1.65,,7,0
EastGrandRapidscity,MI,81,23980,77.67,0.35,87.1,86.38,89.37,0.62,0.24,3.02,0.47,3564.3,12.77,0.34,9.81,0.32,94.34,0.29,7.14,96.15,97.18,1.74,3.82,92.97,71.57,4.22,2.1,0,3,0.9,,3.52,0
Norwalkcity,OH,77,57302,6.55,2.3,71.33,73.5,64.54,0.24,1.52,1.32,0.2,1787,43.68,0.12,13.8,0.33,64.07,0.04,12.41,96.55,82.45,7.54,4.52,60.48,39.35,10.77,7.78,2.06,3,0.11,,26.39,0
Hamiltoncity,OH,17,33012,610.45,3.33,63.91,67.6,70.47,0.18,2.57,0.66,0.15,2966.4,53.3,0.15,16.13,0.25,62.35,0.12,14.36,98.03,75.26,10.72,4.14,60.5,35.15,12.24,7.94,10.36,2,1.53,96.76,33.44,19.05
Harwichtown,MA,1,29020,73.43,0.64,76.19,77.1,79.82,0.76,0.91,3.72,0.54,471.5,35,0.54,9.78,0.59,79.67,0.54,8.05,94.16,92.52,6.53,2.79,78.69,46.95,5.92,8.97,0.18,3,0.45,,12.19,0
Jeffersontowncity,KY,,,85.01,1.53,80.02,80.57,86.79,0.37,0.74,1.62,0.31,2317.5,31.87,0.23,13.4,0.32,74.74,0.12,11.28,96.54,90.26,2.32,2.33,68.94,49.27,8.89,2.92,2.13,3,1.54,,14.51,0
Bainbridgecity,GA,,,244.26,7.52,48.15,54.36,55.33,1.46,4.71,2.13,1.39,670.3,41.28,1.33,16.33,0.6,61.85,0.96,14.15,97.55,59.97,16.96,6.82,61.12,23.95,11.43,6.76,3.02,3,0,,40.25,0
MenloParkcity,CA,,,277.55,4.96,68.7,72.75,75.17,6.65,4.73,16.04,4.86,2689.9,54.26,3.42,14.79,2.5,59.53,2.45,12.85,83.25,89.41,4.7,5.44,53.88,63.53,10.66,3.23,0.93,2,3.66,,10.33,0
Flagstaffcity,AZ,,,295.31,3.96,68.95,72.45,72.44,2.51,8.44,4.13,2.24,700.1,53.02,1.74,11.09,1.79,53.31,1.28,9.73,82.71,79.81,3.75,6.21,49.89,38.11,8.33,7.14,0.79,2,0.67,,13.08,0
Kilgorecity,TX,,,838.09,2.85,68.06,73.97,80.84,1.43,3.35,2.49,1.31,895.6,48.6,0.91,12.6,1.8,65.54,0.54,11.52,95.12,77.9,4.77,4.12,65.54,36.61,10.23,7.02,4.26,3,0,,27.01,0
Glassboroborough,NJ,15,26340,240.36,6.2,63.76,69.11,65.72,1.38,2.87,3.92,1.3,1635.9,41.25,1.17,9.84,0.87,63.84,0.42,8.77,92.58,82.39,7.6,6.32,59.25,34.66,7.51,8.11,2.38,3,2.53,,24,0
SanJuancity,TX,,,524.86,2.15,67.72,74.55,72.75,9.96,26.11,26.08,7.24,2846.1,52.56,5.55,10.16,22.13,72.24,2.96,7.33,12.76,81.48,20.09,19.82,71.91,13.5,3.99,13.29,9.36,2,1.47,,59.32,0
Swampscotttown,MA,9,68645,179.87,0.64,84.85,84.27,88.44,2.29,0.4,8.14,1.68,4320.7,37.99,1.47,7.81,0.69,78.49,1.13,6.45,89.99,97.36,2.84,2.79,74.39,58.32,4.84,4.36,1.06,3,9.65,,8.37,0
LosGatostown,CA,,,190.64,1.24,76.66,77.64,79.12,3.37,1.96,10.93,2.65,2544.4,42,2.04,15.58,0.89,69.24,1.43,13.71,87.97,84.86,2.94,3.15,64.22,61.93,11.63,2.92,4.74,3,1.27,,6.46,0
CreveCoeurcity,MO,,,254.6,0.33,87.28,88.87,92.23,1.43,0.47,5.77,1.33,1565.4,37.69,1.18,8,0.56,79.57,1.18,7.05,92.32,97.75,0.91,2.58,71.5,72.89,5.99,1.79,0.34,3,0.33,,7.57,0
Denisoncity,TX,,,264.82,1.18,66.12,70.63,78.3,0.66,2.77,1.66,0.41,940.1,51.97,0.37,14.47,0.56,67.44,0.24,13.51,95.97,78.62,8.09,3.73,67.39,30,12.37,7.26,2.84,2,0,,33.1,0
Bakersfieldcity,CA,,,830.64,5.23,65.04,68.83,72.63,3.84,7.59,7.95,2.88,1837.3,48.07,2,16.19,3.44,57.28,1.05,14.05,82.5,72.06,12.01,7.16,55.12,32.68,11.7,7.1,4.1,3,1.24,84.53,22.23,10.59
TheVillagecity,OK,,,649.59,0.93,72.23,73.62,67.67,0.58,1.62,2.3,0.45,3939.5,35.19,0.19,16.14,0.37,66.2,0.14,13.54,95.5,85.73,2.61,2.31,68.5,47.44,10.38,3.57,1.29,3,0,,11.55,0
Albanycity,NY,1,1000,450.13,8.96,49.59,53.15,54.73,2.93,2.21,7.7,2.52,4557.8,54.67,1.74,11.68,1.28,42.85,1.28,10.8,88.37,59.38,8.17,4.47,38.3,44.7,9.75,6.09,10.4,2,15.02,82.14,22.28,8.52
Newarkcity,NJ,13,51000,4224.31,20,34.59,43.2,44.71,9.57,13.62,18.68,7.34,11153.6,69.58,5.45,15.92,11.03,26.97,3.17,14,63.25,48.41,22.23,13.13,23.06,17.88,11.84,14.71,11.05,2,24.89,42.71,48.79,0
